Cluster,quarter,rCSI
Abs,2023Q4,28.16
Abs,2024Q1,28.17808219178082
Abs,2024Q2,24.87878787878788
Abs,2024Q3,22.693877551020407
Abs,2024Q4,24.07547169811321
Abs,2025Q1,23.068627450980397
Abs,2025Q2,23.1875
Abs,2025Q3,20.541666666666668
Abs,2025Q4,22.29032258064516
Abyan-Cluster3,2023Q4,16.392156862745097
Abyan-Cluster3,2024Q1,20.327868852459016
Abyan-Cluster3,2024Q2,19.87368421052632
Abyan-Cluster3,2024Q3,16.252747252747252
Abyan-Cluster3,2024Q4,19.294736842105262
Abyan-Cluster3,2025Q1,16.45360824742268
Abyan-Cluster3,2025Q2,13.741935483870968
Abyan-Cluster3,2025Q3,16.489583333333332
Ad Dahi,2023Q4,18.870967741935484
Ad Dahi,2024Q1,17.545454545454547
Ad Dali',2024Q2,17.442622950819672
Ad Dali',2024Q3,17.04123711340206
Ad Dali',2024Q4,19.410714285714285
Ad Dali',2025Q1,16.978494623655912
Ad Dali',2025Q2,12.68627450980392
Ad Dali',2025Q3,15.70754716981132
Ad Dali',2025Q4,18.010416666666668
Ad Dhale'e,2023Q4,17.453488372093023
Ad Dhale'e,2024Q1,16.752808988764045
Ad Dis,2025Q4,12.195652173913045
Ad Dohi,2024Q2,19.90322580645161
Ad Dohi,2024Q3,21.404040404040405
Ad Dohi,2024Q4,20.22448979591837
Ad Dohi,2025Q1,19.16981132075472
Ad Dohi,2025Q2,14.916666666666666
Ad Dohi,2025Q3,15.627659574468083
Ad Dohi,2025Q4,16.133333333333333
Ad Dulay'ah,2024Q2,16.51851851851852
Ad Dulay'ah,2024Q3,15.623376623376624
Ad Dulay'ah,2024Q4,17.44047619047619
Ad Dulay'ah,2025Q1,18.43617021276596
Ad Dulay'ah,2025Q2,11.96774193548387
Ad Dulay'ah,2025Q3,17.033333333333335
Ad Dulay'ah,2025Q4,13.87912087912088
Ad Durayhimi,2023Q4,23.057142857142857
Ad Durayhimi,2024Q1,19.3
Ad Durayhimi,2024Q2,18.376344086021504
Ad Durayhimi,2024Q3,18.08080808080808
Ad Durayhimi,2024Q4,21.282828282828284
Ad Durayhimi,2025Q1,20.49532710280374
Ad Durayhimi,2025Q2,16.625
Ad Durayhimi,2025Q3,17.21875
Ad Durayhimi,2025Q4,16.180851063829788
Aden-Cluster28,2023Q4,16.37378640776699
Aden-Cluster28,2024Q1,16.941798941798943
Aden-Cluster28,2024Q2,16.873015873015873
Aden-Cluster28,2024Q3,19.823943661971832
Aden-Cluster28,2024Q4,21.47552447552448
Aden-Cluster28,2025Q1,19.02054794520548
Aden-Cluster28,2025Q2,18.56081081081081
Aden-Cluster28,2025Q3,21.30281690140845
Adh Dhahir,2024Q2,21.5
Adh Dhahir,2024Q3,22.016949152542374
Adh Dhahir,2024Q4,20.51578947368421
Adh Dhahir,2025Q1,17.733333333333334
Adh Dhahir,2025Q2,17.84375
Adh Dhahir,2025Q3,18.567010309278352
Adh Dhahir,2025Q4,18.46938775510204
Adh Dhihar,2025Q4,13.333333333333334
Adh Dhlia'ah,2023Q4,39.5
Adh Dhlia'ah,2024Q1,30.0
Aflah Al Yaman,2023Q4,25.047619047619047
Aflah Al Yaman,2024Q1,29.4
Aflah Al Yaman,2024Q2,23.291666666666668
Aflah Al Yaman,2024Q3,25.705128205128204
Aflah Al Yaman,2024Q4,23.628205128205128
Aflah Al Yaman,2025Q1,21.702380952380956
Aflah Al Yaman,2025Q2,24.697916666666668
Aflah Al Yaman,2025Q3,22.34065934065934
Aflah Al Yaman,2025Q4,24.13978494623656
Aflah Ash Sham,2024Q2,25.348837209302324
Aflah Ash Sham,2024Q3,28.127659574468087
Aflah Ash Sham,2024Q4,26.32530120481928
Aflah Ash Sham,2025Q1,22.925
Aflah Ash Sham,2025Q2,23.447916666666668
Aflah Ash Sham,2025Q3,22.45555555555556
Aflah Ash Sham,2025Q4,23.31111111111111
Aflah Ash Shawm,2023Q4,29.666666666666668
Aflah Ash Shawm,2024Q1,36.8
Ahwar,2025Q4,15.350515463917526
Ain,2023Q4,8.916666666666666
Ain,2024Q1,17.636363636363637
Al  Hawtah,2023Q4,24.2
Al  Hawtah,2024Q1,8.333333333333334
Al Abdiyah,2023Q4,23.84536082474227
Al Abdiyah,2024Q1,19.885964912280706
Al Abdiyah,2024Q2,18.728155339805824
Al Abdiyah,2024Q3,18.68807339449541
Al Abdiyah,2024Q4,19.412371134020617
Al Abdiyah,2025Q1,17.347826086956523
Al Abdiyah,2025Q2,14.66304347826087
Al Abdiyah,2025Q3,14.526881720430108
Al Abdiyah,2025Q4,15.68131868131868
Al Abr,2023Q4,24.547619047619047
Al Abr,2024Q1,22.89655172413793
Al Abr,2024Q2,20.628205128205128
Al Abr,2024Q3,17.03174603174603
Al Abr,2024Q4,12.567164179104475
Al Abr,2025Q1,17.06578947368421
Al Abr,2025Q2,16.473684210526315
Al Abr,2025Q3,15.047619047619047
Al Abr,2025Q4,10.2
Al Arsh,2025Q3,25.440860215053764
Al Arsh,2025Q4,19.869565217391305
Al Ashah,2023Q4,24.634146341463413
Al Ashah,2024Q1,25.686274509803923
Al Ashah,2024Q2,24.97938144329897
Al Ashah,2024Q3,20.73684210526316
Al Ashah,2024Q4,21.8659793814433
Al Ashah,2025Q1,22.841463414634145
Al Ashah,2025Q2,18.33684210526316
Al Ashah,2025Q3,20.354166666666668
Al Ashah,2025Q4,18.164835164835164
Al Azariq,2023Q4,20.17948717948718
Al Azariq,2024Q1,19.0
Al Azariq,2024Q2,16.896907216494846
Al Azariq,2024Q3,18.828282828282827
Al Azariq,2024Q4,17.336283185840706
Al Azariq,2025Q1,15.247619047619049
Al Azariq,2025Q2,14.182692307692308
Al Azariq,2025Q3,16.078260869565216
Al Azariq,2025Q4,17.4468085106383
Al Bayda,2025Q4,18.366666666666667
Al Bayda City,2025Q4,20.81318681318681
Al Bayda-Cluster6,2023Q4,24.68421052631579
Al Bayda-Cluster6,2024Q1,21.36231884057971
Al Bayda-Cluster6,2024Q2,23.9247311827957
Al Bayda-Cluster6,2024Q3,23.8953488372093
Al Bayda-Cluster6,2024Q4,19.729411764705883
Al Bayda-Cluster6,2025Q1,19.65116279069768
Al Bayda-Cluster6,2025Q2,18.3936170212766
Al Bayda-Cluster6,2025Q3,16.451612903225808
Al Bayda-Cluster6,2025Q4,18.75
Al Bayda-Cluster7,2023Q4,22.82051282051282
Al Bayda-Cluster7,2024Q1,22.97142857142857
Al Bayda-Cluster7,2024Q2,20.044444444444444
Al Bayda-Cluster7,2024Q3,20.95
Al Bayda-Cluster7,2024Q4,22.11881188118812
Al Bayda-Cluster7,2025Q1,21.262626262626263
Al Bayda-Cluster7,2025Q2,15.56122448979592
Al Bayda-Cluster7,2025Q3,17.855555555555554
Al Bayda-Cluster7,2025Q4,14.150943396226417
Al Bayda-Cluster8,2023Q4,23.385416666666668
Al Bayda-Cluster8,2024Q1,23.31851851851852
Al Bayda-Cluster8,2024Q2,20.918181818181814
Al Bayda-Cluster8,2024Q3,24.989690721649485
Al Bayda-Cluster8,2024Q4,20.76237623762376
Al Bayda-Cluster8,2025Q1,23.33
Al Bayda-Cluster8,2025Q2,20.98958333333333
Al Buraiqeh,2023Q4,18.25
Al Buraiqeh,2024Q1,15.858108108108109
Al Burayqah,2024Q2,17.76865671641791
Al Burayqah,2024Q3,19.98076923076923
Al Burayqah,2024Q4,21.285714285714285
Al Burayqah,2025Q1,18.47058823529412
Al Burayqah,2025Q2,16.510204081632654
Al Burayqah,2025Q3,17.103448275862068
Al Burayqah,2025Q4,16.231404958677686
Al Dhaher,2023Q4,25.5
Al Dhaher,2024Q1,20.25
Al Garrahi,2023Q4,33.21875
Al Garrahi,2024Q1,23.625
Al Ghayl,2025Q4,20.295774647887324
Al Had,2023Q4,14.418367346938776
Al Had,2024Q1,16.934426229508198
Al Had,2024Q2,18.02127659574468
Al Had,2024Q3,16.464646464646464
Al Had,2024Q4,18.64
Al Had,2025Q1,16.8989898989899
Al Had,2025Q2,13.875
Al Had,2025Q3,15.095744680851064
Al Had,2025Q4,14.148936170212766
Al Hada,2025Q3,14.548387096774194
Al Hada,2025Q4,13.833333333333334
Al Hajjaylah,2023Q4,20.19047619047619
Al Hajjaylah,2024Q1,26.625
Al Hali,2023Q4,17.77358490566038
Al Hali,2024Q1,23.272727272727277
Al Hali,2024Q2,16.13978494623656
Al Hali,2024Q3,19.404040404040405
Al Hali,2024Q4,18.264705882352946
Al Hali,2025Q1,17.53
Al Hali,2025Q2,20.783505154639176
Al Hali,2025Q3,19.47959183673469
Al Hali,2025Q4,17.25263157894737
Al Hasayn,2024Q2,16.930232558139537
Al Hasayn,2024Q3,18.30851063829787
Al Hasayn,2024Q4,18.91304347826087
Al Hasayn,2025Q1,17.377777777777776
Al Hasayn,2025Q2,16.43010752688172
Al Hasayn,2025Q3,15.715789473684213
Al Hasayn,2025Q4,19.18478260869565
Al Hashwah,2024Q2,22.193548387096776
Al Hashwah,2024Q3,22.78205128205128
Al Hashwah,2024Q4,23.06382978723404
Al Hashwah,2025Q1,16.82051282051282
Al Hashwah,2025Q2,16.956989247311828
Al Hashwah,2025Q3,17.822222222222223
Al Hashwah,2025Q4,18.291666666666668
Al Hawak,2023Q4,21.96825396825397
Al Hawak,2024Q1,19.316666666666663
Al Hawak,2024Q2,18.940594059405942
Al Hawak,2024Q3,19.63917525773196
Al Hawak,2024Q4,21.633663366336634
Al Hawak,2025Q1,16.979166666666668
Al Hawak,2025Q2,15.744897959183673
Al Hawak,2025Q3,16.947916666666668
Al Hawak,2025Q4,13.702127659574469
Al Hawtah,2024Q2,15.12087912087912
Al Hawtah,2024Q3,20.90322580645161
Al Hawtah,2024Q4,19.956989247311828
Al Hawtah,2025Q1,18.883495145631063
Al Hawtah,2025Q2,17.50537634408602
Al Hawtah,2025Q3,16.443298969072163
Al Hawtah,2025Q4,15.852941176470589
Al Haymah Ad Dakhiliyah,2023Q4,19.948051948051948
Al Haymah Ad Dakhiliyah,2024Q1,20.59756097560976
Al Haymah Ad Dakhiliyah,2024Q2,18.8125
Al Haymah Ad Dakhiliyah,2024Q3,19.28125
Al Haymah Ad Dakhiliyah,2024Q4,18.428571428571427
Al Haymah Ad Dakhiliyah,2025Q1,20.61458333333333
Al Haymah Ad Dakhiliyah,2025Q2,16.333333333333332
Al Haymah Ad Dakhiliyah,2025Q3,18.225806451612904
Al Haymah Ad Dakhiliyah,2025Q4,16.625
Al Haymah Al Kharijiyah,2025Q3,19.571428571428573
Al Haymah Al Kharijiyah,2025Q4,17.555555555555557
Al Hazm,2023Q4,22.160804020100503
Al Hazm,2024Q1,23.11111111111111
Al Hazm,2024Q2,22.36144578313253
Al Hazm,2024Q3,20.926315789473684
Al Hazm,2024Q4,21.37
Al Hazm,2025Q1,22.473684210526315
Al Hazm,2025Q2,18.372340425531917
Al Hazm,2025Q3,18.351063829787236
Al Hazm,2025Q4,20.221052631578942
Al Hissn,2024Q2,20.14018691588785
Al Hissn,2024Q3,20.81
Al Hissn,2024Q4,15.797979797979798
Al Hissn,2025Q1,17.24742268041237
Al Hissn,2025Q2,19.53125
Al Hissn,2025Q3,13.563829787234043
Al Hissn,2025Q4,15.795698924731182
Al Hodeidah-Cluster16,2023Q4,19.5
Al Hodeidah-Cluster16,2024Q2,16.776119402985074
Al Hodeidah-Cluster16,2024Q3,18.98795180722892
Al Hodeidah-Cluster16,2024Q4,17.161290322580644
Al Hodeidah-Cluster16,2025Q1,20.0
Al Hodeidah-Cluster16,2025Q2,17.322222222222223
Al Hodeidah-Cluster16,2025Q3,13.8625
Al Hodeidah-Cluster16,2025Q4,15.757142857142858
Al Hodeidah-Cluster17,2023Q4,20.444444444444443
Al Hodeidah-Cluster17,2024Q1,23.20987654320988
Al Hodeidah-Cluster17,2024Q2,15.53125
Al Hodeidah-Cluster17,2024Q3,21.21978021978022
Al Hodeidah-Cluster17,2024Q4,18.466666666666665
Al Hodeidah-Cluster17,2025Q1,19.33653846153846
Al Hujjaylah,2024Q2,19.40860215053764
Al Hujjaylah,2024Q3,20.466666666666665
Al Hujjaylah,2024Q4,18.539473684210527
Al Hujjaylah,2025Q1,18.41379310344828
Al Hujjaylah,2025Q2,17.708333333333332
Al Hujjaylah,2025Q3,15.597826086956522
Al Hujjaylah,2025Q4,16.16304347826087
Al Humaydat,2023Q4,24.48148148148148
Al Humaydat,2024Q1,28.727272727272727
Al Humaydat,2024Q2,25.144736842105264
Al Humaydat,2024Q3,21.775280898876403
Al Humaydat,2024Q4,21.8
Al Humaydat,2025Q1,21.244444444444444
Al Humaydat,2025Q2,19.697916666666668
Al Humaydat,2025Q3,18.16304347826087
Al Humaydat,2025Q4,20.484848484848484
Al Husha,2023Q4,20.97744360902256
Al Husha,2024Q1,19.741666666666667
Al Husha,2024Q2,18.063157894736843
Al Husha,2024Q3,19.28
Al Husha,2024Q4,18.88888888888889
Al Husha,2025Q1,21.1875
Al Husha,2025Q2,15.1875
Al Husha,2025Q3,16.75
Al Husha,2025Q4,18.377777777777776
Al Husn,2023Q4,22.33333333333333
Al Husn,2024Q1,23.2
Al Hussein,2023Q4,18.65217391304348
Al Hussein,2024Q1,18.071428571428573
Al Ja'fariyyah,2024Q2,19.45263157894737
Al Ja'fariyyah,2024Q3,18.68041237113402
Al Ja'fariyyah,2024Q4,18.02061855670103
Al Ja'fariyyah,2025Q1,13.350515463917526
Al Ja'fariyyah,2025Q2,15.947916666666666
Al Ja'fariyyah,2025Q3,14.8125
Al Ja'fariyyah,2025Q4,15.351648351648352
Al Jabin,2023Q4,21.925925925925927
Al Jabin,2024Q1,21.315068493150687
Al Jabin,2024Q2,23.419753086419757
Al Jabin,2024Q3,19.63917525773196
Al Jabin,2024Q4,16.802083333333332
Al Jabin,2025Q1,20.711340206185568
Al Jabin,2025Q2,18.42708333333333
Al Jabin,2025Q3,18.367346938775512
Al Jabin,2025Q4,15.355555555555556
Al Jafariyah,2023Q4,20.046979865771814
Al Jafariyah,2024Q1,21.02409638554217
Al Jamimah,2023Q4,26.77777777777778
Al Jamimah,2024Q1,24.8
Al Jamimah,2024Q2,23.105263157894736
Al Jamimah,2024Q3,26.17708333333333
Al Jamimah,2024Q4,24.030927835051543
Al Jamimah,2025Q1,20.193548387096776
Al Jamimah,2025Q2,17.885416666666668
Al Jamimah,2025Q3,18.307692307692307
Al Jamimah,2025Q4,15.923076923076923
Al Jarrahi,2024Q2,22.726315789473684
Al Jarrahi,2024Q3,22.83333333333333
Al Jarrahi,2024Q4,24.371134020618555
Al Jarrahi,2025Q1,18.572916666666668
Al Jarrahi,2025Q2,17.989583333333332
Al Jarrahi,2025Q3,16.736842105263158
Al Jarrahi,2025Q4,18.444444444444443
Al Jawf-Cluster14,2023Q4,18.02380952380953
Al Jawf-Cluster14,2024Q1,24.9344262295082
Al Jawf-Cluster14,2024Q2,19.742857142857144
Al Jawf-Cluster14,2024Q3,19.648936170212767
Al Jawf-Cluster14,2024Q4,19.65625
Al Jawf-Cluster14,2025Q1,18.29032258064516
Al Jawf-Cluster14,2025Q2,14.293478260869565
Al Jawf-Cluster14,2025Q3,17.866666666666667
Al Khabt,2023Q4,19.78333333333333
Al Khabt,2024Q1,26.55172413793104
Al Khabt,2024Q2,18.2987012987013
Al Khabt,2024Q3,20.0625
Al Khabt,2024Q4,21.216494845360824
Al Khabt,2025Q1,21.63917525773196
Al Khabt,2025Q2,19.53684210526316
Al Khabt,2025Q3,17.666666666666668
